2017-07-06 22:20:54,905 [DEBUG] org.apache.commons.httpclient.HttpClient  - Java version: 1.6.0_12
2017-07-06 22:20:54,914 [DEBUG] org.apache.commons.httpclient.HttpClient  - Java vendor: Sun Microsystems Inc.
2017-07-06 22:20:54,914 [DEBUG] org.apache.commons.httpclient.HttpClient  - Java class path: X:\workspace14\fl885\web\WEB-INF\classes;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\bean-validator.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.annotation.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.ejb.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.enterprise.deploy.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.jms.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.management.j2ee.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.persistence.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.resource.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.security.auth.message.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.security.jacc.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.servlet.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.servlet.jsp.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\javax.transaction.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\jaxb-api-osgi.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\jsr311-api.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\mail.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\webservices-api-osgi.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\EE_6\weld-osgi-bundle.jar;X:\workspace14\fl885\web\WEB-INF\lib\AjaxFileUpload-0.03.jar;X:\workspace14\fl885\web\WEB-INF\lib\AppAudit-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\QRCode.jar;X:\workspace14\fl885\web\WEB-INF\lib\UserAgentUtils-1.15.jar;X:\workspace14\fl885\web\WEB-INF\lib\activation-1.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\antlr-2.7.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\aopalliance-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\asm-4.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\asm-tree-4.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\asm-util-4.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\aspectjweaver-1.7.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\avalon-framework-4.1.5.jar;X:\workspace14\fl885\web\WEB-INF\lib\axis-ant.jar;X:\workspace14\fl885\web\WEB-INF\lib\axis.jar;X:\workspace14\fl885\web\WEB-INF\lib\bsh-2.0b4.jar;X:\workspace14\fl885\web\WEB-INF\lib\cglib-3.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-beanutils-1.8.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-codec-1.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-collections-20040616.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-configuration-1.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-dbcp-1.2.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-digester-2.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-discovery-0.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-email-1.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-fileupload-1.3.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-httpclient-3.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-io-1.3.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-lang-2.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-lang3-3.3.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-logging-1.0.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-pool-1.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\commons-validator-1.1.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\dom4j-1.6.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\dozer-5.4.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\druid-1.0.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\ehcache-core-2.6.10.jar;X:\workspace14\fl885\web\WEB-INF\lib\ezmorph-1.0.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\freemarker-2.3.19.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov-apimng-1.0.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov-base-cfg-1.0.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov-base-dict-1.0.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov-base-log-1.0.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov_compare.jar;X:\workspace14\fl885\web\WEB-INF\lib\gov_framework.jar;X:\workspace14\fl885\web\WEB-INF\lib\govframework_2.0_javadoc.jar;X:\workspace14\fl885\web\WEB-INF\lib\govframework_2.0_src.jar;X:\workspace14\fl885\web\WEB-INF\lib\govutil_1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\hamcrest-core-1.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-commons-annotations-3.2.0.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-core-3.6.10.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-entitymanager-3.6.10.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-jpa-2.0-api-1.0.1.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-oscache-3.6.10.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate-validator-4.2.0.Final.jar;X:\workspace14\fl885\web\WEB-INF\lib\hibernate3.jar;X:\workspace14\fl885\web\WEB-INF\lib\imp20130515.jar;X:\workspace14\fl885\web\WEB-INF\lib\itext-2.1.7.jar;X:\workspace14\fl885\web\WEB-INF\lib\jackson-all-1.9.5.jar;X:\workspace14\fl885\web\WEB-INF\lib\jackson-annotations-2.0.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\jackson-core-2.0.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\jackson-databind-2.2.0-rc1.jar;X:\workspace14\fl885\web\WEB-INF\lib\jackson-dataformat-xml-2.4.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\javaee.jar;X:\workspace14\fl885\web\WEB-INF\lib\javassist-3.12.1.GA.jar;X:\workspace14\fl885\web\WEB-INF\lib\javax.inject-1.jar;X:\workspace14\fl885\web\WEB-INF\lib\javax.servlet-api-3.0.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\jaxrpc.jar;X:\workspace14\fl885\web\WEB-INF\lib\jboss-jacc-api_JDK4-1.1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\jboss-logging-3.1.0.GA.jar;X:\workspace14\fl885\web\WEB-INF\lib\jcommander-1.12.jar;X:\workspace14\fl885\web\WEB-INF\lib\jcommon-1.0.16.jar;X:\workspace14\fl885\web\WEB-INF\lib\jdom-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\jdtcore-3.2.0.v_658.jar;X:\workspace14\fl885\web\WEB-INF\lib\jfreechart-1.0.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\jopt-simple-3.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\json-lib-2.3-jdk15.jar;X:\workspace14\fl885\web\WEB-INF\lib\json-path-0.8.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\json-smart-1.1.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\json.jar;X:\workspace14\fl885\web\WEB-INF\lib\jstl-1.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\jta-1.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\junit-4.11.jar;X:\workspace14\fl885\web\WEB-INF\lib\jxl-2.6.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\log4j-1.2.8.jar;X:\workspace14\fl885\web\WEB-INF\lib\logkit-1.0.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\mysql-connector-java-5.1.25.jar;X:\workspace14\fl885\web\WEB-INF\lib\ognl-3.0.8.jar;X:\workspace14\fl885\web\WEB-INF\lib\ojdbc6-11.2.0.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\org.json.jar;X:\workspace14\fl885\web\WEB-INF\lib\oro-2.0.8.jar;X:\workspace14\fl885\web\WEB-INF\lib\oscache-2.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\persistence-api-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\pinyin4j-2.5.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\poi-3.0.2-FINAL.jar;X:\workspace14\fl885\web\WEB-INF\lib\poi-3.7-20101029.jar;X:\workspace14\fl885\web\WEB-INF\lib\poi-ooxml-3.7-20101029.jar;X:\workspace14\fl885\web\WEB-INF\lib\poi-ooxml-schemas-3.7-20101029.jar;X:\workspace14\fl885\web\WEB-INF\lib\portlet-api-2.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\quartz-1.6.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\relaxngDatatype-20030807.jar;X:\workspace14\fl885\web\WEB-INF\lib\rome-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\rop-1.0.7-SNAPSHOT.jar;X:\workspace14\fl885\web\WEB-INF\lib\saaj.jar;X:\workspace14\fl885\web\WEB-INF\lib\sitemesh-3.0-alpha-2.jar;X:\workspace14\fl885\web\WEB-INF\lib\slf4j-api-1.6.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\slf4j-log4j12-1.6.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\smack-3.4.1-0cec571.jar;X:\workspace14\fl885\web\WEB-INF\lib\smackx-3.4.1-0cec571.jar;X:\workspace14\fl885\web\WEB-INF\lib\smackx-debug-3.4.1-0cec571.jar;X:\workspace14\fl885\web\WEB-INF\lib\smartUpload.jar;X:\workspace14\fl885\web\WEB-INF\lib\snakeyaml-1.6.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-aop-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-beans-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-context-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-context-support-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-core-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-data-commons-1.7.0.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-data-jpa-1.5.0.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-expression-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-jdbc-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-orm-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-oxm-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-test-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-tx-3.2.8.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-web-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-webmvc-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring-webmvc-portlet-3.2.7.RELEASE.jar;X:\workspace14\fl885\web\WEB-INF\lib\spring.jar;X:\workspace14\fl885\web\WEB-INF\lib\sqljdbc4.jar;X:\workspace14\fl885\web\WEB-INF\lib\standard-1.1.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\stax-api-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\stax2-2.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\tagsoup-0.9.7.jar;X:\workspace14\fl885\web\WEB-INF\lib\testng-6.5.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\triones-1.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\triones.jar;X:\workspace14\fl885\web\WEB-INF\lib\validation-api-1.0.0.GA.jar;X:\workspace14\fl885\web\WEB-INF\lib\velocity-1.5.jar;X:\workspace14\fl885\web\WEB-INF\lib\velocity-tools-view-1.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\wad2_2.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\wegov_server.jar;X:\workspace14\fl885\web\WEB-INF\lib\wfc-v1.4.jar;X:\workspace14\fl885\web\WEB-INF\lib\woodstox-core-asl-4.1.5.jar;X:\workspace14\fl885\web\WEB-INF\lib\wsdl4j-1.5.1.jar;X:\workspace14\fl885\web\WEB-INF\lib\xalan-2.6.0.jar;X:\workspace14\fl885\web\WEB-INF\lib\xercesImpl-2.6.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\xml-apis-1.0.b2.jar;X:\workspace14\fl885\web\WEB-INF\lib\xmlParserAPIs-2.6.2.jar;X:\workspace14\fl885\web\WEB-INF\lib\xmlunit-1.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\xom-1.0b3.jar;X:\workspace14\fl885\web\WEB-INF\lib\xpp3-1.1.3.3.jar;X:\workspace14\fl885\web\WEB-INF\lib\xsdlib-20030807.jar;X:\workspace14\fl885\web\WEB-INF\lib\xwork.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\JSTL1.2.1\lib\javax.servlet.jsp.jstl.jar;D:\Program Files\MyEclipse Professional 2014\plugins\com.genuitec.eclipse.j2eedt.core_11.5.0.me201311281640\data\libraryset\JSTL1.2.1\lib\jstl-impl.jar
2017-07-06 22:20:54,914 [DEBUG] org.apache.commons.httpclient.HttpClient  - Operating system name: Windows Vista
2017-07-06 22:20:54,915 [DEBUG] org.apache.commons.httpclient.HttpClient  - Operating system architecture: x86
2017-07-06 22:20:54,915 [DEBUG] org.apache.commons.httpclient.HttpClient  - Operating system version: 6.1
2017-07-06 22:20:55,559 [DEBUG] org.apache.commons.httpclient.HttpClient  - SUN 1.6: SUN (DSA key/parameter generation; DSA signing; SHA-1, MD5 digests; SecureRandom; X.509 certificates; JKS keystore; PKIX CertPathValidator; PKIX CertPathBuilder; LDAP, Collection CertStores, JavaPolicy Policy; JavaLoginConfig Configuration)
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunRsaSign 1.5: Sun RSA signature provider
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunJSSE 1.6: Sun JSSE provider(PKCS12, SunX509 key/trust factories, SSLv3, TLSv1)
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunJCE 1.6: SunJCE Provider (implements RSA, DES, Triple DES, AES, Blowfish, ARCFOUR, RC2, PBE, Diffie-Hellman, HMAC)
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunJGSS 1.0: Sun (Kerberos v5, SPNEGO)
